City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
48,Mbigou,100,GA,2021-04-03 01:09:29,98,-1.9005,11.906,67.64,0.89
49,Arraial Do Cabo,5,BR,2021-04-03 01:06:46,76,-22.9661,-42.0278,76.14,12.28
50,Salinas,1,US,2021-04-03 01:09:29,67,36.6777,-121.6555,57.2,14.97
51,Mecca,98,SA,2021-04-03 01:06:01,41,21.4267,39.8261,70.5,8.57
52,Impfondo,100,CG,2021-04-03 01:09:29,83,1.6381,18.0667,74.41,1.48
53,Dikson,88,RU,2021-04-03 01:07:31,84,73.5069,80.5464,-17.21,4.72
54,Kodiak,1,US,2021-04-03 01:07:44,42,57.79,-152.4072,42.8,10.36
55,Bredasdorp,95,ZA,2021-04-03 01:07:15,93,-34.5322,20.0403,48.2,6.91
56,Qaanaaq,100,GL,2021-04-03 01:07:37,82,77.484,-69.3632,-17.1,10.6
57,Mbaiki,99,CF,2021-04-03 01:09:30,74,3.8678,17.9892,74.7,2.53
58,Calatayud,77,ES,2021-04-03 01:09:31,87,41.3535,-1.6432,57.99,1.14
59,Buraydah,0,SA,2021-04-03 01:07:20,32,26.326,43.975,68.0,12.66
60,Tashara,100,RU,2021-04-03 01:09:31,76,55.5195,83.5094,34.0,8.99
61,Los Llanos De Aridane,75,ES,2021-04-03 01:06:18,72,28.6585,-17.9182,66.2,13.8
62,Cape Town,0,ZA,2021-04-03 01:03:41,77,-33.9258,18.4232,60.01,2.3
63,Jalu,0,LY,2021-04-03 01:07:57,32,29.0331,21.5482,60.42,7.9
64,Yellowknife,90,CA,2021-04-03 01:07:04,72,62.456,-114.3525,6.8,9.22
65,Souillac,75,MU,2021-04-03 01:07:43,100,-20.5167,57.5167,75.2,11.81
66,Carnarvon,100,AU,2021-04-03 01:07:17,70,-24.8667,113.6333,84.2,13.8
67,Coria,54,ES,2021-04-03 01:09:32,86,39.9879,-6.5377,52.0,3.0
68,Coihaique,75,CL,2021-04-03 01:09:32,76,-45.5752,-72.0662,53.6,5.75
69,Butaritari,27,KI,2021-04-03 01:07:16,80,3.0707,172.7902,82.24,16.06
70,Nacala,87,MZ,2021-04-03 01:09:33,97,-14.5428,40.6728,72.16,6.22
71,College,75,US,2021-04-03 01:08:21,52,64.8569,-147.8028,14.0,2.86
72,Gryazi,100,RU,2021-04-03 01:09:33,98,52.4966,39.9359,34.93,9.13
